========== HORIZONTAL BEGIN ==========
row = 2, col = 44, congestion_value = 1.21429, demand = 17, supply = 14
row = 3, col = 44, congestion_value = 1.07143, demand = 15, supply = 14
row = 4, col = 43, congestion_value = 1.21429, demand = 17, supply = 14
row = 4, col = 44, congestion_value = 1.07143, demand = 15, supply = 14
row = 5, col = 43, congestion_value = 1.07143, demand = 15, supply = 14
row = 5, col = 45, congestion_value = 1.14286, demand = 16, supply = 14
row = 6, col = 45, congestion_value = 1.07143, demand = 15, supply = 14
row = 8, col = 42, congestion_value = 1.14286, demand = 16, supply = 14
row = 8, col = 45, congestion_value = 1.28571, demand = 18, supply = 14
row = 9, col = 32, congestion_value = 1.07143, demand = 15, supply = 14
row = 9, col = 40, congestion_value = 1.28571, demand = 18, supply = 14
row = 9, col = 42, congestion_value = 1.07143, demand = 15, supply = 14
row = 9, col = 45, congestion_value = 1.42857, demand = 20, supply = 14
row = 9, col = 58, congestion_value = 1.07143, demand = 15, supply = 14
row = 10, col = 40, congestion_value = 1.57143, demand = 22, supply = 14
row = 10, col = 42, congestion_value = 1.21429, demand = 17, supply = 14
row = 10, col = 45, congestion_value = 1.71429, demand = 24, supply = 14
row = 10, col = 58, congestion_value = 1.07143, demand = 15, supply = 14
row = 11, col = 35, congestion_value = 1.07143, demand = 15, supply = 14
row = 11, col = 40, congestion_value = 1.5, demand = 21, supply = 14
row = 11, col = 42, congestion_value = 1.21429, demand = 17, supply = 14
row = 11, col = 45, congestion_value = 1.78571, demand = 25, supply = 14
row = 11, col = 55, congestion_value = 1.14286, demand = 16, supply = 14
row = 11, col = 58, congestion_value = 1.07143, demand = 15, supply = 14
row = 12, col = 35, congestion_value = 1.14286, demand = 16, supply = 14
row = 12, col = 38, congestion_value = 1.42857, demand = 20, supply = 14
row = 12, col = 40, congestion_value = 1.42857, demand = 20, supply = 14
row = 12, col = 41, congestion_value = 1.21429, demand = 17, supply = 14
row = 12, col = 42, congestion_value = 1.14286, demand = 16, supply = 14
row = 12, col = 45, congestion_value = 2.07143, demand = 29, supply = 14
row = 12, col = 54, congestion_value = 1.21429, demand = 17, supply = 14
row = 12, col = 55, congestion_value = 1.14286, demand = 16, supply = 14
row = 13, col = 28, congestion_value = 1.14286, demand = 16, supply = 14
row = 13, col = 29, congestion_value = 1.14286, demand = 16, supply = 14
row = 13, col = 32, congestion_value = 1.14286, demand = 16, supply = 14
row = 13, col = 35, congestion_value = 1.14286, demand = 16, supply = 14
row = 13, col = 37, congestion_value = 1.28571, demand = 18, supply = 14
row = 13, col = 38, congestion_value = 1.57143, demand = 22, supply = 14
row = 13, col = 40, congestion_value = 1.57143, demand = 22, supply = 14
row = 13, col = 41, congestion_value = 1.42857, demand = 20, supply = 14
row = 13, col = 42, congestion_value = 1.21429, demand = 17, supply = 14
row = 13, col = 43, congestion_value = 1.21429, demand = 17, supply = 14
row = 13, col = 45, congestion_value = 1.78571, demand = 25, supply = 14
row = 13, col = 54, congestion_value = 1.21429, demand = 17, supply = 14
row = 13, col = 55, congestion_value = 1.21429, demand = 17, supply = 14
row = 14, col = 28, congestion_value = 1.14286, demand = 16, supply = 14
row = 14, col = 29, congestion_value = 1.07143, demand = 15, supply = 14
row = 14, col = 30, congestion_value = 1.21429, demand = 17, supply = 14
row = 14, col = 31, congestion_value = 1.14286, demand = 16, supply = 14
row = 14, col = 35, congestion_value = 1.14286, demand = 16, supply = 14
row = 14, col = 37, congestion_value = 1.64286, demand = 23, supply = 14
row = 14, col = 38, congestion_value = 1.57143, demand = 22, supply = 14
row = 14, col = 40, congestion_value = 1.5, demand = 21, supply = 14
row = 14, col = 41, congestion_value = 1.35714, demand = 19, supply = 14
row = 14, col = 42, congestion_value = 1.28571, demand = 18, supply = 14
row = 14, col = 43, congestion_value = 1.5, demand = 21, supply = 14
row = 14, col = 44, congestion_value = 1.07143, demand = 15, supply = 14
row = 14, col = 45, congestion_value = 1.71429, demand = 24, supply = 14
row = 14, col = 54, congestion_value = 1.14286, demand = 16, supply = 14
row = 15, col = 28, congestion_value = 1.28571, demand = 18, supply = 14
row = 15, col = 29, congestion_value = 1.35714, demand = 19, supply = 14
row = 15, col = 30, congestion_value = 1.07143, demand = 15, supply = 14
row = 15, col = 32, congestion_value = 1.14286, demand = 16, supply = 14
row = 15, col = 35, congestion_value = 1.28571, demand = 18, supply = 14
row = 15, col = 37, congestion_value = 1.78571, demand = 25, supply = 14
row = 15, col = 38, congestion_value = 1.92857, demand = 27, supply = 14
row = 15, col = 40, congestion_value = 1.42857, demand = 20, supply = 14
row = 15, col = 41, congestion_value = 1.5, demand = 21, supply = 14
row = 15, col = 42, congestion_value = 1.21429, demand = 17, supply = 14
row = 15, col = 43, congestion_value = 1.35714, demand = 19, supply = 14
row = 15, col = 44, congestion_value = 1.21429, demand = 17, supply = 14
row = 15, col = 45, congestion_value = 1.85714, demand = 26, supply = 14
row = 15, col = 56, congestion_value = 1.14286, demand = 16, supply = 14
row = 16, col = 28, congestion_value = 1.35714, demand = 19, supply = 14
row = 16, col = 29, congestion_value = 1.5, demand = 21, supply = 14
row = 16, col = 30, congestion_value = 1.14286, demand = 16, supply = 14
row = 16, col = 32, congestion_value = 1.28571, demand = 18, supply = 14
row = 16, col = 35, congestion_value = 1.35714, demand = 19, supply = 14
row = 16, col = 37, congestion_value = 1.92857, demand = 27, supply = 14
row = 16, col = 38, congestion_value = 1.85714, demand = 26, supply = 14
row = 16, col = 40, congestion_value = 1.42857, demand = 20, supply = 14
row = 16, col = 41, congestion_value = 1.21429, demand = 17, supply = 14
row = 16, col = 42, congestion_value = 1.35714, demand = 19, supply = 14
row = 16, col = 43, congestion_value = 1.5, demand = 21, supply = 14
row = 16, col = 44, congestion_value = 1.14286, demand = 16, supply = 14
row = 16, col = 45, congestion_value = 1.78571, demand = 25, supply = 14
row = 17, col = 28, congestion_value = 1.35714, demand = 19, supply = 14
row = 17, col = 29, congestion_value = 1.21429, demand = 17, supply = 14
row = 17, col = 30, congestion_value = 1.14286, demand = 16, supply = 14
row = 17, col = 32, congestion_value = 1.07143, demand = 15, supply = 14
row = 17, col = 35, congestion_value = 1.28571, demand = 18, supply = 14
row = 17, col = 37, congestion_value = 2, demand = 28, supply = 14
row = 17, col = 38, congestion_value = 2.14286, demand = 30, supply = 14
