========== HORIZONTAL BEGIN ==========
row = 4, col = 42, congestion_value = 1.07143, demand = 15, supply = 14
row = 8, col = 30, congestion_value = 1.14286, demand = 16, supply = 14
row = 8, col = 33, congestion_value = 1.07143, demand = 15, supply = 14
row = 8, col = 45, congestion_value = 1.07143, demand = 15, supply = 14
row = 9, col = 30, congestion_value = 1.28571, demand = 18, supply = 14
row = 9, col = 39, congestion_value = 1.28571, demand = 18, supply = 14
row = 9, col = 41, congestion_value = 1.14286, demand = 16, supply = 14
row = 9, col = 45, congestion_value = 1.07143, demand = 15, supply = 14
row = 10, col = 30, congestion_value = 1.21429, demand = 17, supply = 14
row = 10, col = 37, congestion_value = 1.07143, demand = 15, supply = 14
row = 10, col = 39, congestion_value = 1.35714, demand = 19, supply = 14
row = 10, col = 41, congestion_value = 1.35714, demand = 19, supply = 14
row = 10, col = 45, congestion_value = 1.21429, demand = 17, supply = 14
row = 10, col = 58, congestion_value = 1.07143, demand = 15, supply = 14
row = 11, col = 30, congestion_value = 1.21429, demand = 17, supply = 14
row = 11, col = 32, congestion_value = 1.07143, demand = 15, supply = 14
row = 11, col = 39, congestion_value = 1.28571, demand = 18, supply = 14
row = 11, col = 41, congestion_value = 1.35714, demand = 19, supply = 14
row = 11, col = 45, congestion_value = 1.14286, demand = 16, supply = 14
row = 11, col = 47, congestion_value = 1.14286, demand = 16, supply = 14
row = 12, col = 30, congestion_value = 1.21429, demand = 17, supply = 14
row = 12, col = 37, congestion_value = 1.35714, demand = 19, supply = 14
row = 12, col = 39, congestion_value = 1.57143, demand = 22, supply = 14
row = 12, col = 40, congestion_value = 1.21429, demand = 17, supply = 14
row = 12, col = 41, congestion_value = 1.07143, demand = 15, supply = 14
row = 12, col = 42, congestion_value = 1.07143, demand = 15, supply = 14
row = 12, col = 45, congestion_value = 1.35714, demand = 19, supply = 14
row = 12, col = 47, congestion_value = 1.07143, demand = 15, supply = 14
row = 12, col = 54, congestion_value = 1.21429, demand = 17, supply = 14
row = 13, col = 30, congestion_value = 1.28571, demand = 18, supply = 14
row = 13, col = 32, congestion_value = 1.07143, demand = 15, supply = 14
row = 13, col = 37, congestion_value = 1.5, demand = 21, supply = 14
row = 13, col = 39, congestion_value = 1.5, demand = 21, supply = 14
row = 13, col = 40, congestion_value = 1.21429, demand = 17, supply = 14
row = 13, col = 41, congestion_value = 1.14286, demand = 16, supply = 14
row = 13, col = 42, congestion_value = 1.28571, demand = 18, supply = 14
row = 13, col = 45, congestion_value = 1.64286, demand = 23, supply = 14
row = 13, col = 54, congestion_value = 1.35714, demand = 19, supply = 14
row = 13, col = 55, congestion_value = 1.07143, demand = 15, supply = 14
row = 14, col = 30, congestion_value = 1.5, demand = 21, supply = 14
row = 14, col = 32, congestion_value = 1.21429, demand = 17, supply = 14
row = 14, col = 34, congestion_value = 1.07143, demand = 15, supply = 14
row = 14, col = 35, congestion_value = 1.07143, demand = 15, supply = 14
row = 14, col = 37, congestion_value = 1.42857, demand = 20, supply = 14
row = 14, col = 39, congestion_value = 2, demand = 28, supply = 14
row = 14, col = 40, congestion_value = 1.21429, demand = 17, supply = 14
row = 14, col = 41, congestion_value = 1.14286, demand = 16, supply = 14
row = 14, col = 42, congestion_value = 1.42857, demand = 20, supply = 14
row = 14, col = 43, congestion_value = 1.14286, demand = 16, supply = 14
row = 14, col = 45, congestion_value = 1.57143, demand = 22, supply = 14
row = 14, col = 47, congestion_value = 1.07143, demand = 15, supply = 14
row = 14, col = 54, congestion_value = 1.28571, demand = 18, supply = 14
row = 15, col = 29, congestion_value = 1.5, demand = 21, supply = 14
row = 15, col = 30, congestion_value = 1.28571, demand = 18, supply = 14
row = 15, col = 32, congestion_value = 1.57143, demand = 22, supply = 14
row = 15, col = 35, congestion_value = 1.14286, demand = 16, supply = 14
row = 15, col = 36, congestion_value = 1.07143, demand = 15, supply = 14
row = 15, col = 37, congestion_value = 1.64286, demand = 23, supply = 14
row = 15, col = 39, congestion_value = 2, demand = 28, supply = 14
row = 15, col = 40, congestion_value = 1.28571, demand = 18, supply = 14
row = 15, col = 41, congestion_value = 1.07143, demand = 15, supply = 14
row = 15, col = 42, congestion_value = 1.42857, demand = 20, supply = 14
